Iter:,"CS,Mises(Pnorm):","VOL,EVOL:",maximum |delta x|:
0,157.23639731189226,94241.40916291584,
1,61.65073676888226,52775.189131232866,0.5
2,48.92798675292125,44104.232510529415,0.19710579751882795
3,50.353467759963046,46342.98922543292,0.12579964419316864
4,49.02064133080064,46857.43666004078,0.1544058053269704
5,49.0252890602794,47040.93210061451,0.05623303647184158
6,48.91702753371014,47074.07698876276,0.04646253295372316
7,48.82277878187097,47086.11848196163,0.04527373323267381
8,48.764215457857524,47091.942040549904,0.04258319609377892
9,48.750409990624235,47097.532208569,0.040508560187342946
10,48.747647008581346,47100.78785536932,0.03722268233495185
11,48.751259947411846,47103.45006954023,0.028387571080884855
12,48.760993890867795,47105.126362460105,0.025411179845852616
13,48.767454717483155,47105.60862477305,0.02409883211701802
14,48.77114649017105,47105.684756206276,0.02357656014030851
15,48.77189622290335,47105.43106363421,0.02357227567359388
16,48.77014181060055,47104.85481033321,0.0235788196900919
17,48.76481582124813,47104.089871257274,0.026857632262551362
18,48.7582814161426,47102.7170738375,0.033806020581224144
19,48.754450160434295,47101.28573737564,0.039613330856750034
20,48.75489489502744,47099.294727827226,0.042730858390613524
21,48.76051422499234,47096.917041375666,0.042366955738513956
22,48.778863289126924,47094.12127225858,0.03749559214898468
23,48.81397553265298,47090.371689481646,0.03075286649427167
24,48.868755078857525,47085.44441467513,0.030362728829602392
25,48.94636175651771,47079.11454351981,0.03333677021334347
26,49.05614332223581,47072.181827023225,0.03540478040632555
27,49.21059864001818,47064.29023590822,0.03669244201417299
28,49.42442737317683,47056.000705913306,0.03810959233504696
29,49.69528393055996,47048.62031283482,0.03849438888403289
30,50.00562615941418,47039.90674600592,0.03835666109296754
31,50.35558607515928,47022.09089575791,0.037745488982573905
32,50.81589470761812,47009.00614239691,0.04064923782406488
33,51.281662237565264,47013.44305944667,0.03964097781907405
34,51.72075467649043,47022.74498074276,0.041476656617281615
35,52.092405524212936,47022.082354538215,0.05122962331389441
36,52.40674399955283,47033.618884124284,0.05962124480920228
37,52.66203392509598,47033.14717860174,0.06104031118236153
38,52.92504347594343,47031.60101635054,0.05608873865212016
39,53.21179269118108,47029.66709741294,0.06813401002809523
40,53.46521698828953,47034.086860965326,0.05962691100719819
41,53.67023187351005,47040.745765479456,0.1491541997236651
42,53.76391439864854,47041.845998866884,0.09473948728171266
43,53.95244158366153,47028.285783909756,0.15226689273542546
44,53.94828392339748,47009.21459115045,0.19353707264909176
45,54.217029273371445,47004.503756505466,0.19758222387208096
46,54.45517110901733,47013.46339348453,0.1403205860518382
47,54.78494448405209,47007.819872269356,0.1713761024120053
48,55.01850987251915,47005.99107942454,0.15497625713220034
49,55.38973696002646,47000.32868359193,0.1973670726825575
50,55.68603826151007,46994.56662945566,0.15250976865504137
51,56.093517279099636,46997.6473541162,0.1956083097013699
52,56.38002487042452,47004.5500398711,0.14925220800542516
53,56.68964716965953,47008.02684948974,0.1946113711613929
54,56.89034269783459,47010.518518231635,0.16642806591845638
55,57.20244250648389,47011.98212142168,0.19772327709176146
56,57.421219329907494,47013.704698983594,0.1609917306238814
57,57.687863274167704,47011.166080390605,0.19765928672869632
58,57.889087182124676,47018.10173561042,0.1561517466951856
59,58.073241123705145,47026.19712701236,0.1972579425278132
60,58.21822634496214,47030.72085875409,0.13919458802756532
61,58.31386405366889,47036.36913155827,0.19517167231744315
62,58.42359436627933,47038.185410796985,0.11829600056798362
63,58.473374692098155,47044.250516049964,0.19752993744638495
64,58.620359473683436,47049.82325709448,0.06473467860500605
65,58.54771225023451,47047.75518330668,0.1979781828376186
66,58.66325939382928,47049.51563942504,0.06321485446181466
67,58.53936788134805,47054.55803590094,0.1979746968976592
68,58.58914862520778,47053.37814476951,0.0868013829775332
69,58.41669866197246,47055.83503650294,0.1979786526046483
70,58.41667461372799,47051.89202985146,0.11014993618006913
71,58.20387430854893,47052.83179822726,0.19798355657423788
72,58.173818384254155,47048.5569194593,0.11710292526455834
73,57.96947682831206,47052.85771024646,0.19798568059489102
74,57.951304742124066,47051.322470724364,0.11621837479306407
75,57.808239922618235,47059.081991844636,0.19798590942258112
76,57.8240820602689,47059.764694948484,0.09051789063492259
77,57.75784730311677,47068.073283766775,0.19798544813037236
78,57.79288057395539,47069.91397178768,0.09432505877551514
79,57.74791973018361,47074.54894844866,0.19798092879250548
80,57.76147150571335,47075.944050135105,0.10019636957173661
81,57.71798076830583,47077.64916863884,0.19796517514709064
82,57.70778965896542,47077.53705593375,0.10972250606823397
83,57.661530529796075,47079.77337594911,0.19797759505583926
84,57.58521403486664,47077.4627386979,0.14459434499536983
85,57.54705895822374,47078.53065211782,0.19798457930732744
86,57.47868564713532,47080.407611909846,0.1323553724636068
87,57.463006127107455,47080.292831812,0.19798504241140674
88,57.39645498570889,47084.34857502639,0.1229420564241979
89,57.414465858848594,47082.81615608781,0.19796793523118386
90,57.33931862543394,47086.34835344112,0.10560387905119589
91,57.37182312563981,47083.20612521234,0.18955127057157442
92,57.280510781451106,47084.58506643253,0.13714478508094766
93,57.33512744201604,47081.0376271534,0.17178620605800968
94,57.24477447900789,47082.39354818231,0.16526402438170762
95,57.32641723353145,47080.82407323514,0.1628725655415238
96,57.23884727850256,47083.14265594752,0.1754338955223939
97,57.32308224849401,47081.01907984054,0.15466214272152012
98,57.234259243285784,47084.969278706994,0.17396981843905684
99,57.31871405385323,47083.67031992218,0.1464998539841201
100,57.231485059685774,47086.90949239705,0.16787330206202922
binaryzation,68.78603835651624,47639.75672569957,
