Iter:,"SE,ESE:","VOL,EVOL:",maximum |delta x|:
0,492.6877048419889,70521.93620423885,
1,12097.025039798162,35529.3822231878,0.7
2,11699.549460990891,34437.11322530575,0.1599470942103564
3,9776.017119940789,35006.68369656789,0.11581034137898172
4,9119.190617780074,35099.56999573072,0.06228386632664329
5,8561.38989740987,35113.18602721834,0.12826317747393637
6,7753.076879796483,35084.31461498034,0.06661898160191093
7,6912.871595112283,35071.67133340241,0.12587214384002235
8,6207.810273359563,35099.036374156436,0.06529462084386584
9,5737.723914930346,35148.263320199956,0.055697293533057524
10,5422.57982247313,35171.51364068131,0.04678052982162684
11,5174.0675782793805,35180.577241157625,0.037966563083415616
12,4959.602392965486,35183.32484546988,0.03690497609494314
13,4755.751050986673,35179.26774967011,0.03854378997368024
14,4541.814625478152,35164.13528867123,0.03986416748997601
15,4300.246056374512,35142.42427948587,0.04729514206400803
16,3997.229970928522,35079.951825996475,0.06047633676936043
17,3704.950382425508,35075.051042233594,0.06372072398665574
18,3450.612490930624,35061.68939870554,0.058737114002244406
19,3226.686557394701,35064.93370986683,0.058627556589988306
20,3068.592092590306,35115.66511673124,0.052086828048390266
21,2964.309684611495,35153.160270215725,0.05188866927689062
22,2882.1294128556647,35163.36037200692,0.052009154133634494
23,2807.959299806469,35165.14487253304,0.05160889422735393
24,2742.6203141956157,35172.14070166545,0.05035696128666989
25,2690.435723640502,35188.57204533558,0.055012431969132386
26,2648.2291667355667,35200.1741071323,0.06441085962605281
27,2614.80196396875,35211.27642473402,0.06941835634270238
28,2587.127312858406,35216.794007126366,0.07645444518777805
29,2562.8481931452984,35220.56355038825,0.08214975837225219
30,2540.722596966196,35223.25477010175,0.08146739757181165
31,2520.1562808100953,35224.869679851785,0.07428617538455984
32,2500.4455804393756,35225.88429893456,0.06363888524234762
33,2481.6058669529366,35226.77685498297,0.07470702707619475
34,2463.3975984706585,35227.04061976695,0.08815796171618523
35,2445.5949632986794,35227.01844675056,0.09411269484488521
36,2428.315279971238,35227.85477223014,0.08848492004993086
37,2411.5571967289493,35228.781459592916,0.07354808133738489
38,2394.902467630244,35229.15202441074,0.058854524941577696
39,2377.8631148885484,35228.396462955934,0.06591280717544579
40,2359.7207843909973,35226.53840309188,0.07055916311245009
41,2339.5889337439303,35222.416809204544,0.07222773969557866
42,2320.963824687827,35229.175654561324,0.06475119633075432
43,2305.5794417783973,35234.1147077956,0.0532146974772586
44,2291.848428420086,35236.44212191795,0.04429910944728033
45,2279.5414225809855,35239.150876210624,0.041557290089965115
46,2268.3033375703963,35240.48362624235,0.038709179984847464
47,2257.1195778693864,35240.12957851081,0.03706073318874159
48,2245.737233976728,35239.63032558275,0.035623845045180014
49,2234.7417632617844,35241.15480054076,0.03259686754102076
50,2225.1744513791095,35243.62269124572,0.027540079983902954
51,2216.2495421229783,35244.18769933797,0.024121140389124496
52,2207.564356480878,35244.466675694624,0.022136178996795874
53,2199.0959376751116,35244.98853863259,0.02164416423515153
54,2191.1209219327507,35245.895411342775,0.01994452442753797
55,2183.3786192107955,35246.29969931139,0.019955659862462227
56,2175.701380285701,35246.40036660308,0.02113819194314026
57,2168.4033749110185,35247.69975747014,0.021015943332591158
58,2161.588315031854,35248.13485944039,0.020944252999356316
59,2155.0671955707626,35248.574226290155,0.021319586910164667
60,2148.774257448902,35248.864647769384,0.021862663690338402
61,2142.5936804334215,35248.919505146085,0.022728397719943172
62,2136.568301860196,35249.09059660243,0.02315120863301673
63,2130.5612537354045,35248.97360673688,0.02408452384396137
64,2124.520209817624,35248.74506685307,0.025206106091802793
65,2118.451292953072,35248.68092596902,0.025941960999369684
66,2112.4255076231334,35248.702261586004,0.026312348496259075
67,2106.426941077739,35248.67779711794,0.026466807517226354
68,2100.405210252371,35248.46835418548,0.02675919391976367
69,2094.453939053018,35248.4588565552,0.0260089726768864
70,2088.400866270389,35248.01883331852,0.026341450213199114
71,2082.213526528537,35247.795225741545,0.030013515110370037
72,2076.0381215480347,35247.882285802516,0.032795680613348754
73,2069.8762648062084,35247.884919148484,0.035615997047127756
74,2063.6643401763777,35247.817282128424,0.03840155232050624
75,2057.5005371205048,35247.980453701486,0.04002205122997021
76,2051.614805942802,35248.58294418619,0.03935035732676184
77,2045.9418874439382,35248.999944407624,0.0386770583851439
78,2040.542328882874,35249.48776636667,0.0368344795136778
79,2035.3367237491566,35249.85438299205,0.03474505913641435
80,2030.2181499298408,35249.965093077364,0.032455512904278394
81,2025.199964347171,35250.361790642826,0.032052319647572436
82,2020.409113639943,35250.897089917315,0.03496854168787289
83,2015.8666739036762,35251.458487140975,0.036760454120786795
84,2011.595672136097,35252.05451346094,0.037901159714633426
85,2007.5603723303084,35252.45363716426,0.03842389776424093
86,2003.7523920994029,35252.76582353786,0.038179991070050434
87,2000.0043618888221,35252.77357106827,0.038501691171630215
88,1996.3801423119676,35253.06861356093,0.03727825938762952
89,1992.8564578108244,35253.049794030725,0.03590867118672603
90,1989.4705231814016,35253.321015623995,0.03373436633520077
91,1986.1439752609056,35253.13959922719,0.032067207151263655
92,1982.7175989238842,35252.80301214308,0.031183902430494848
93,1979.15618185234,35252.46679881841,0.0301705337654411
94,1975.471045241945,35252.2134857015,0.02865480129292508
95,1971.804990589011,35252.50663034343,0.026176978113274574
96,1968.3194718674301,35252.67746095253,0.02400114655305627
97,1964.851495286938,35252.62801111363,0.026406629732192766
98,1961.4105777977768,35252.732878400915,0.028458708242210945
99,1958.0095362862612,35252.71008277938,0.030568003646757158
100,1954.6822700349962,35252.99447445401,0.032042378235452196
binaryzation,1700.8195725884511,35619.54564530868,
