Iter:,"VOL,EVOL:","SE,ESE:",maximum |delta x|:
0,25000.0,6.416163640089234,
1,15000.0,25.81891493080409,0.5
2,18955.796536280053,13.063220942855969,0.1979999999639378
3,17423.41161888925,11.046772080771568,0.19794614380451558
4,15657.368428717331,12.05846008235357,0.1039699058065584
5,14992.671791725275,12.56872578632957,0.08201984712624621
6,14691.774324082904,12.633556050287064,0.06834601334149115
7,14491.237749884496,12.66896051210913,0.05308782947280655
8,14345.629166073464,12.6895682539316,0.04126252606228098
9,14231.26392861938,12.699712962929539,0.032946175818991286
10,14134.153360738437,12.70329641094743,0.02773215123230588
11,14045.921778422695,12.703030404064627,0.025484835504102077
12,13961.503817861969,12.700699494790278,0.02659579271390744
13,13877.961350588093,12.697646860599665,0.02753838682204013
14,13793.764008191629,12.694650380730646,0.029568298591628128
15,13708.347200799679,12.691923034721768,0.031836401135463155
16,13621.728515601972,12.68949985954136,0.03465374832242729
17,13534.252804671718,12.687398923194593,0.03760990279584531
18,13446.407210860449,12.68559708156753,0.039956915004302096
19,13358.638858273729,12.684036871336929,0.04122587948699352
20,13271.362293697597,12.682713383146652,0.04138076854313022
21,13184.900991108203,12.681644735907938,0.04052117479481809
22,13099.521082056319,12.681012307186434,0.03884970899455886
23,13015.415025344359,12.680964196757103,0.03643489736494354
24,12932.76163150017,12.681605825260894,0.03418317202901766
25,12851.760722704073,12.683061992995894,0.03429273005360656
26,12772.632815955993,12.685293108330029,0.034902760614296424
27,12695.56135709248,12.688297023844548,0.03590266973595735
28,12620.732048151236,12.691995496101065,0.03622492855385129
29,12548.216255353544,12.696229587747387,0.03588137686294124
30,12478.038649345717,12.70088889545558,0.034964741264163046
31,12410.160389278972,12.705840988981482,0.03428479938079909
32,12344.496038699508,12.710844797345903,0.03546271076632035
33,12280.910755744308,12.715814387930719,0.03604077126508787
34,12219.272696727583,12.720821910793234,0.036037513812928745
35,12159.464613995395,12.725852547066811,0.035489336218622713
36,12101.34739892093,12.730790949389103,0.03444976209116779
37,12044.797980171308,12.735598993499531,0.03278785584604538
38,11989.691455723387,12.740211838580148,0.031669664244584395
39,11935.922452035906,12.744558669005425,0.03061552810890722
40,11883.380457556439,12.74860399278765,0.02910388476817416
41,11831.963411648874,12.75240797511694,0.027299778038808453
42,11781.560469717282,12.7559778139804,0.02520445106334912
43,11732.0790757409,12.75930042106702,0.02359004603288095
44,11683.422604112278,12.762287657772966,0.022829007959101477
45,11635.48363034541,12.764848169385605,0.02318972647676243
46,11588.119700130097,12.766960737342167,0.02341855274461846
47,11541.196177429058,12.768789779144173,0.023416281207515155
48,11494.622890646206,12.770472683664003,0.023180694750459474
49,11448.327762957599,12.772040184110532,0.022634599219215956
50,11402.24759870879,12.773496133650195,0.021868103350954016
51,11356.35344128265,12.77486225668797,0.020917723012718548
52,11310.609782717063,12.776137195813849,0.020953340005365306
53,11264.966978866072,12.777311573864914,0.02179128806141928
54,11219.380667677246,12.778409114819553,0.022501148750004085
55,11173.81092095186,12.779441804419452,0.02306354748860695
56,11128.25577814839,12.780412338556594,0.023465717957900423
57,11082.70494417917,12.781309754053224,0.023696714709225963
58,11037.115681562125,12.782132253863235,0.023743129068409363
59,10991.463631879184,12.782867101100916,0.023593728999174002
60,10945.734566060397,12.78350163460286,0.023248325903722944
61,10899.936783557605,12.78402254149473,0.022730900744719063
62,10854.130115054295,12.784457940516486,0.02207356361617452
63,10808.39201993703,12.784825056581429,0.02124363321957179
64,10762.775773436599,12.785139562248677,0.020247241997136012
65,10717.273514874467,12.78541214253869,0.019184792120020777
66,10671.964062154846,12.78566357603048,0.018282417165613074
67,10626.880399697928,12.785896438555831,0.019080718040510036
68,10582.062681224776,12.786123021564293,0.01995176005338195
69,10537.64660653588,12.78634605337967,0.020793791022130415
70,10493.734975921052,12.786569014169558,0.021593446511253167
71,10450.51556148611,12.786794846669371,0.022334685989924052
72,10408.025013886117,12.787020317311647,0.023000174804703843
73,10366.434277959313,12.78724813163631,0.023570197032756646
74,10325.705104569055,12.7874581860711,0.024026982858842416
75,10285.951065381494,12.787668332450636,0.024347259392424214
76,10247.338042454518,12.787876101962926,0.024519160001737927
77,10209.95684500031,12.788083659586073,0.024539242059635202
78,10174.045428584943,12.7883064831557,0.024408223286417563
79,10139.765626793924,12.788536336448043,0.02413152755145198
80,10107.496482354076,12.788776240717828,0.02364305919502019
81,10077.879239053298,12.789053794278129,0.02290532215484664
82,10051.243623207229,12.789324547813068,0.022016852031242706
83,10027.365644969912,12.789575152264096,0.0209754798645565
84,10005.974932725676,12.789813351713835,0.019765353420641785
85,9986.89340238193,12.790043114463403,0.018341442473659764
86,9970.001740849537,12.790281693198713,0.016586476954634777
87,9955.220394738713,12.790528268954326,0.014410041178628652
88,9942.27120854171,12.790769957020615,0.01418649117286741
89,9930.8618970327,12.791038433752025,0.013921600438597803
90,9920.728841952636,12.791323727196811,0.013615806737172442
91,9911.679668363124,12.791619005072072,0.013269563865436318
92,9903.567595830238,12.79191099089602,0.012890866060626172
93,9896.292021748037,12.792196299612256,0.012487904571953923
94,9889.711369374498,12.792458209792585,0.012071271269023742
95,9883.691412032385,12.792688795203492,0.011648996814615842
96,9878.11224925851,12.792908393741179,0.011197899568288205
97,9872.888149067487,12.793101507805915,0.0109116626253013
98,9867.97661913645,12.793274502046632,0.010783105424731487
99,9863.369106488253,12.793455001488319,0.010630287881983502
100,9859.00876785845,12.793601254236519,0.010588831237878016
binaryzation,9393.639999999998,12.027725171992683,
